Designator,Mid X,Mid Y,Layer,Rotation
C1,112.220002,-47.26,bottom,0
C2,124.27,-52.64,bottom,0
C3,120.63,-47.97,bottom,180
C4,124.55,-49.75,bottom,180
C5,110.75,-48.23,bottom,-90
C6,137.19,-51.52,bottom,0
C7,135.86,-48.62,bottom,0
C8,115.020002,-50.57,bottom,90
C9,114.490002,-41.159998,bottom,-90
C10,114.840002,-43.9,bottom,90
C11,110.79,-44.47,bottom,90
C12,114.52,-47.67,bottom,-90
C14,100.1,-46.52,bottom,90
C15,101.53,-46.36,bottom,0
C16,96.25,-52.15,bottom,180
C17,98.79,-48.92,bottom,0
C18,99.57,-44.78,bottom,0
C20,101.43,-44.95,bottom,0
C21,102.07,-48.78,bottom,0
C22,101.84,-47.37,bottom,180
C23,98.42,-46.17,bottom,-90
C24,99.99,-47.99,bottom,180
C25,104.49,-41.56,bottom,0
C26,92.85,-52.57,bottom,-90
C27,107.82,-47.3,bottom,180
C28,135.86,-45.66,bottom,0
C29,137.21,-50.37,bottom,0
C30,135.81,-46.66,bottom,0
C31,133.98,-45.71,bottom,0
C32,128.43,-45.78,bottom,180
C33,135.81,-47.65,bottom,0
C34,124.59,-50.76,bottom,180
C35,128.12,-56.05,bottom,180
C36,137.79,-48.6,bottom,0
C37,140.92,-55.75,bottom,90
C38,135.3,-56.13,bottom,180
D1,98.21,-50.34,bottom,-90
D2,103.63,-44.16,bottom,180
D3,127.3275,-44.3,bottom,180
D4,140.4425,-48.35,bottom,0
FB1,98.27,-44.09,bottom,-90
FB2,99.29,-46.76,bottom,-90
FB3,107.915002,-42.83,bottom,180
FLASH1,138.4925,-54.1925,bottom,0
J1,121.97,-45.535,bottom,180
J2,135.93,-41.34,bottom,180
L1,122.3,-41.62,bottom,0
R1,117.7,-41.1,bottom,0
R2,116.270002,-40.61,bottom,90
R3,117.615001,-47.715001,bottom,0
R4,117.360002,-45.57,bottom,180
R5,116.220002,-47.24,bottom,90
R6,117.610001,-52.205001,bottom,180
R8,113.8,-43.79,bottom,90
R10,113.54,-45.43,bottom,180
R11,99.28,-50.31,bottom,90
R12,98.16,-42.61,bottom,180
R13,98.15,-47.91,bottom,180
R14,97.76,-41.36,bottom,0
R15,102.07,-40.56,bottom,180
R16,100.17,-41.17,bottom,90
R17,99.26,-41.15,bottom,90
R18,100.49,-42.53,bottom,180
R19,102.04,-41.56,bottom,180
R20,100.55,-43.48,bottom,0
R21,99.66,-39.56,bottom,180
R22,103.64,-43.18,bottom,0
R23,107.260002,-51.12,bottom,0
R24,112.260002,-50.55,bottom,180
R25,112.260002,-49.45,bottom,180
R26,112.210002,-48.34,bottom,180
R27,112.210002,-43.91,bottom,180
R28,112.200002,-42.82,bottom,180
R32,139.18,-56.15,bottom,0
R33,143.22875,-53.04,bottom,0
R34,143.17875,-50.09,bottom,0
R35,126.16,-46.14,bottom,0
R36,125.56,-44.7,bottom,-90
R37,137.23,-56.13,bottom,0
R38,129.27,-44.27,bottom,90
R40,104.3,-40.58,bottom,180
R41,97.78,-39.8,bottom,0
R42,103.36,-39.53,bottom,0
U1,117.190003,-43.234999,bottom,0
U2,117.330001,-49.98,bottom,0
U5,94.33,-46.96,bottom,-90
U8,138.79,-45.65,bottom,0
U9,130.23,-50.87,bottom,90
U11,127.5,-41.58,bottom,180
X1,107.290002,-45.03,bottom,-90
Y1,121.54,-50.75,bottom,90
