"Reference","Value","Footprint","Qty","LCSC Part","Digikey"
"C1,C7,C8,C9,C10,C11,C12,C15,C32,C34,C36,C38,C40,C44,C45,C52,C57,C59,C66,C70,C71,C77,C78,C79,C87,C88,C95,C97,C103,C123,C128,C129,C139,C141","4u7","Capacitor_SMD:C_0402_1005Metric","34"," C368809",""
"C2,C3,C4,C5,C6,C16,C17,C18,C19,C20,C21,C22,C138,C142","100n","Capacitor_SMD:C_0402_1005Metric","14","gia",""
"C13,C23,C33,C35,C37,C39,C41,C43,C46,C47,C48,C50,C53,C54,C55,C56,C61,C62,C67,C69,C72,C76,C80,C81,C82,C83,C84,C85,C89,C90,C91,C92,C94,C98,C99,C100,C101,C102,C107,C108,C112,C114,C130,C131,C132,C133,C134,C135,C136,C137","470n","Capacitor_SMD:C_0201_0603Metric","50","C85926",""
"C14","100n","Capacitor_SMD:C_0402_1005Metric","1","-",""
"C24,C27,C28,C29,C31,C49,C73,C74,C75,C86,C127","47u","Capacitor_SMD:C_0805_2012Metric","11","C16780",""
"C25,C26,C30","22u","Capacitor_SMD:C_0805_2012Metric","3","C98190",""
"C42,C51,C58,C60,C63,C64,C68,C93,C96","100u","Capacitor_SMD:C_1206_3216Metric","9","C15008",""
"C65","10u","Capacitor_SMD:C_0402_1005Metric","1"," C15525////",""
"C104,C105,C106,C109,C110,C111,C113,C118,C119,C120,C121,C122,C124,C125,C126","47n","Capacitor_SMD:C_0201_0603Metric","15","C85925",""
"D2","LED_Small","LED_SMD:LED_0603_1608Metric","1","-",""
"H1,H2,H3,H4","MountingHole","Mylibrary:MountingHole_2.7mm_M2.5_ISO14580_MOD","4","-",""
"J1,J2,J3","DF40C-100DS-0.4V_51","Mylibrary:HRS_DF40C-100DS-0.4V_51_","3","","DF40HC(3.0)-100DS-0.4V(51)"
"L1","3u3","Mylibrary:L_0806_2.0x1.6mm","1","C98336",""
"L2,L3,L4,L6,L7,L8,L9","120R","Inductor_SMD:L_0402_1005Metric","7","C275478",""
"L5","600@100MHz","Inductor_SMD:L_0402_1005Metric","1","C337875/gia",""
"Q3","NMOS","Package_TO_SOT_SMD:SOT-23","1","",""
"R1,R5,R6,R13,R15,R39,R40,R41,R42,R43,R44,R74,R75,R76,R77,R86,R87,R88,R89,R90,R92,R93,R94,R97,R100","10k","Resistor_SMD:R_0402_1005Metric","25","C25744/gia",""
"R2,R20,R21,R22,R49,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R95,R96","22R","Resistor_SMD:R_0402_1005Metric","30","C114765/C25105",""
"R3,R4,R14","1k5","Resistor_SMD:R_0402_1005Metric","3","C25867",""
"R7,R8,R9,R10,R11,R12,R17,R18,R19,R48,R98,R99","4k7","Resistor_SMD:R_0402_1005Metric","12","C25940",""
"R16","2k49","Resistor_SMD:R_0402_1005Metric","1","C25884",""
"R23,R27,R28,R29,R30,R31,R32,R35,R36,R78,R79,R80,R81,R82,R83,R84,R85","100k","Resistor_SMD:R_0402_1005Metric","17","C60491",""
"R24","8k06","Resistor_SMD:R_0402_1005Metric","1","C25923",""
"R25","28k7","Resistor_SMD:R_0402_1005Metric","1","C26972",""
"R26,R33,R37","200k","Resistor_SMD:R_0402_1005Metric","3","C137903",""
"R34","44k2","Resistor_SMD:R_0402_1005Metric","1","C25895",""
"R38","160k","Resistor_SMD:R_0402_1005Metric","1","C25757",""
"R45","240R","Resistor_SMD:R_0402_1005Metric","1","C25094",""
"R46,R47,R50","100R","-- mixed values --","3","-- mixed values --",""
"R91","330","Resistor_SMD:R_0402_1005Metric","1","",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16","TestPoint","Mylibrary:TestPoint_Pad_D0.7mm","16","-",""
"U1","MT41K256M16TW-107_P","Mylibrary:BGA96C80P9X16_1400X800X120","1","gia",""
"U2","XC7Z020-CLG484","Mylibrary:CLG484_XIL-L_new","1","gia",""
"U3","RTL8211F","Mylibrary:RTL8211F-CG_RTK-L","1","C187932",""
"U4,U6","MPM3834","Mylibrary:MPM3834","2","","MPM3834CGPA-Z"
"U5","USB3318","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1","","USB3318C-CP-TR"
"U7","IS21ES08G","Mylibrary:BGA153N50P14X14_1150X1300X100","1","","IS21ES08GA-JCLI-TR"
"U8","TPSM82864","Mylibrary:B0QFN_RDJ","1","C5219321",""
"U9","STM32G431CBUx","Mylibrary:STM32G431CBU6","1","gia",""
"U10","MPM3822","Mylibrary:QFN_2p5x3p5x1p6_MNP","1","C5799652",""
"U11","W25Q128JVS","Package_SON:WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm","1","C401662",""
"U13","TPS7A20","Mylibrary:TLV707","1","gia",""
"U14","BMI323","Mylibrary:BMI323_BOS","1","C5368700",""
"X1","ASCO","Mylibrary:Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm","1","","KC2016Z13.0000C1KX00"
"X2","ASE-xxxMHz","Mylibrary:Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm","1","","KC2016Z25.0000C1KX00"
"X3","CMOS_OSC","Mylibrary:Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm","1","","KC2016Z33.0000C1KX00"
