"source ref des","source pad","net","net class","side","x","y","pad type","footprint side"
"TP3","1","ZYNQ_PL_DONE","Default","BOTTOM",149.3,-128.7,"SMT","BOTTOM"
"TP16","1","+0V675_REF","Default","BOTTOM",118.21,-127.02,"SMT","BOTTOM"
"TP15","1","+1V35","+1V35","BOTTOM",120.8,-128.1,"SMT","BOTTOM"
"TP8","1","QSPI_D1{slash}BM1","QSPI","BOTTOM",118.15,-102.3,"SMT","BOTTOM"
"TP5","1","ZYNQ_PS_SRST","Default","BOTTOM",123.4,-96.6,"SMT","BOTTOM"
"TP9","1","ZYNQ_BMODE_2","Default","BOTTOM",116.3,-98.45,"SMT","BOTTOM"
"TP14","1","+1V0","+1V0","BOTTOM",112.72,-117.3,"SMT","BOTTOM"
"TP1","1","ZYNQ_PL_PROGB","Default","BOTTOM",115.4,-126.2,"SMT","BOTTOM"
"TP6","1","QSPI_~{CS}","QSPI","BOTTOM",115.7,-102.8,"SMT","BOTTOM"
"TP7","1","QSPI_D0{slash}BM3","QSPI","BOTTOM",121.85,-102.4,"SMT","BOTTOM"
"TP2","1","ZYNQ_PL_INITB","Default","BOTTOM",149.9,-132.0,"SMT","BOTTOM"
"TP12","1","/Ethernet PHY/CLK_25MHz","Default","BOTTOM",151.73,-97.62,"SMT","BOTTOM"
"TP13","1","/Ethernet PHY/1V0_ETH","PWR","BOTTOM",151.43,-100.23,"SMT","BOTTOM"
"TP10","1","ZYNQ_BMODE_0","Default","BOTTOM",124.0,-99.4,"SMT","BOTTOM"
"TP4","1","/Zynq B500-B501/PS_CLK_33MHz","Default","BOTTOM",135.55,-105.5,"SMT","BOTTOM"
"TP11","1","QSPI_CLK","QSPI","BOTTOM",124.45,-102.7,"SMT","BOTTOM"
